id,products,productsVariants,productsVariantsIds,total,createdAt,scannedAt
4249,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Volwassen,Volwassen,Volwassen,Kinderen,Kinderen","185,185,185,185,185,185,185,185,185,185,185,186,186,186,186,186,186,187,187,187,188,188",94.00,"2024-11-27 16:25:15.700926","2024-12-01 18:49:43.017017,2024-12-01 18:49:42.998868,2024-12-01 18:40:14.929008,2024-12-01 18:50:08.493415,2024-12-01 18:50:08.470396,2024-12-01 18:40:42.455150,2024-12-01 19:29:25.586983,2024-12-01 19:29:25.573916,2024-12-01 18:50:03.793887,2024-12-01 18:50:03.778218,2024-12-01 18:40:35.360717,2024-12-01 18:49:57.813168,2024-12-01 18:49:57.790298,2024-12-01 18:40:28.559023,2024-12-01 18:49:50.787367,2024-12-01 18:49:50.771609,2024-12-01 18:40:20.654234,2024-12-01 18:41:03.186756,2024-12-01 18:40:48.281389,2024-12-01 19:24:50.216217"
4253,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-27 20:05:29.806372","2024-11-28 20:52:40.449121,2024-11-28 20:52:47.482856"
4254,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Kinderen,Kinderen,Kinderen,Volwassen,Volwassen,Kinderen","185,185,186,186,186,187,187,188",33.00,"2024-11-27 21:09:10.815287","2024-12-15 20:03:12.440787,2024-12-15 20:03:12.422527,2024-12-15 20:02:31.613839,2024-12-15 19:46:54.442550,2024-12-15 19:46:58.479710,2024-12-15 19:47:01.301267"
4255,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-27 21:47:19.118051","2024-11-29 00:06:52.180250,2024-11-29 00:06:39.448380"
4257,"Entree schaatsbaan",Volwassen,185,0.00,"2024-11-27 22:23:41.952013",NULL
4258,"Entree schaatsbaan,Schaatsverhuur","Volwassen,Volwassen","185,187",12.00,"2024-11-27 23:11:20.605730","2024-12-01 21:04:40.522989,2024-12-01 20:53:54.206522"
4259,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-27 23:43:49.526336","2024-12-06 01:07:34.434146,2024-12-06 01:07:40.056669"
4260,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187",24.00,"2024-11-28 00:21:42.978230",NULL
4264,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187",24.00,"2024-11-28 01:56:33.724052","2024-11-29 22:17:36.253903,2024-11-29 22:17:47.326595,2024-11-29 22:07:49.524142,2024-11-29 22:07:40.997500"
4270,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187",24.00,"2024-11-28 13:12:19.541873","2024-12-01 16:17:02.324522,2024-12-01 16:17:06.972410,2024-12-01 16:08:36.640265,2024-12-01 16:08:41.721185"
4278,"Entree schaatsbaan,Schaatsverhuur","Volwassen,Volwassen","185,187",12.00,"2024-11-28 15:39:48.803417","2024-12-01 21:04:59.998113,2024-12-01 20:57:06.460772"
4280,Schaatsverhuur,Volwassen,187,0.00,"2024-11-28 16:30:44.407384",NULL
4296,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","185,185,185,185,185,185,185,185,187,187,187,187,187,187,187,187",96.00,"2024-11-28 19:21:28.866495","2024-11-29 22:32:54.051260,2024-11-29 22:32:58.834933,2024-11-29 22:25:28.557821,2024-11-29 22:33:46.846590,2024-11-29 22:24:36.475856,2024-11-29 22:24:12.787622,2024-11-29 22:26:03.028733"
4307,"Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen","183,183,183",24.00,"2024-11-28 19:51:44.087890","2024-11-29 00:55:22.622714,2024-11-29 00:55:12.485917,2024-11-29 00:55:07.123136"
