deal_variant_key,slotDates,Model_Prediction,Applied_Growth_Rate,Final_Forecast
magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),2025-11-17,0.7697294989565351,0.07424678221356552,34.71910164937327
magisch vrijthof pakket_magisch vrijthof,2025-11-17,0.6260600607293056,0.07363649934414201,28.22276460850776
magisch vrijthof pakket_magisch vrijthof pakket,2025-11-17,0.60646156910543,0.07366809019706869,27.34006975882667
magisch vrijthof pakket_niet geldig op woensdag,2025-11-17,0.6192759521760947,0.07608484485919076,27.980599673029594
magisch vrijthof pakket_weekend,2025-11-17,0.5892035154196662,0.08049512863264476,26.730952227993257
magisch vrijthof_magisch vrijthof,2025-11-17,0.6271186696584821,0.07863890037284232,28.402207509580787
magisch vrijthof_magisch vrijthof pakket,2025-11-17,0.6297189917376895,0.07582458280396084,28.445563560010275
magische fijnproevers_alle dagen geldig,2025-11-17,0.6078441463717961,0.08223705789444759,27.6210972432783
magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-17,0.699776727004294,0.07278987721304084,31.521033519288352
soort pakket_basis,2025-11-17,0.6990407397593499,0.07584289297070437,31.577491681199795
soort pakket_standaard,2025-11-17,0.6990407397593499,0.07732723686587384,31.621059247903077
carrousel (5 tickets)_5 tickets,2025-11-18,0.524463642585449,0.07749080237694725,23.727678312865528
